GPS TOW [s],North,East,Up
123572,2815128.76358209,518424.199403226,5680789.23926272
123573,2815121.9692901,518419.161259846,5680793.05235185
123574,2815115.26896561,518413.799341258,5680796.81612682
123575,2815108.52931077,518408.159712122,5680800.58685045
123576,2815101.70495167,518402.219468283,5680804.41849185
123577,2815094.65179898,518395.996983565,5680808.31377813
123578,2815087.4063749,518389.516980217,5680812.32695107
123579,2815079.90800296,518382.823758902,5680816.4795876
123580,2815072.09220746,518375.884430951,5680820.78282444
123581,2815063.91211421,518368.713949038,5680825.29231673
123582,2815055.36681552,518361.326084325,5680829.92354171
123583,2815046.51257672,518353.846248003,5680834.78277673
123584,2815037.36747742,518346.241876723,5680839.7887724
123585,2815028.02425946,518338.559298472,5680844.87511368
123586,2815018.58831124,518330.86489632,5680850.05952722
123587,2815009.05569382,518323.219910007,5680855.29957359
123588,2814999.41462135,518315.721896681,5680860.60806214
123589,2814989.56130461,518308.445455719,5680865.98281198
123590,2814979.49089426,518301.469218763,5680871.50157414
123591,2814969.22983018,518294.772991463,5680877.07785698
123592,2814958.74448286,518288.421612075,5680882.69595025
123593,2814948.07215892,518282.397328523,5680888.38205852
123594,2814937.24199898,518276.714544445,5680894.1268177
123595,2814926.25374821,518271.36861863,5680899.92094157
123596,2814915.15310741,518266.282746407,5680905.71211886
123597,2814904.11165905,518261.366934702,5680911.46275018
123598,2814893.11479095,518256.584754993,5680917.12748825
123599,2814882.21944247,518251.988493985,5680922.69945194
123600,2814871.73848567,518247.614840865,5680928.0421694
123601,2814862.08541136,518243.648830037,5680933.05352819
123602,2814853.194849,518240.045263408,5680937.6426308
123603,2814845.08040405,518236.758667464,5680941.79870225
123604,2814837.61631226,518233.715224618,5680945.66454078
123605,2814829.99501724,518230.730669706,5680949.57345587
123606,2814821.71922927,518227.580239913,5680953.82099041
123607,2814812.69912057,518224.179099096,5680958.41990552
123608,2814803.00931337,518220.479188391,5680963.3342209
123609,2814793.39519849,518216.774109802,5680968.22333119
123610,2814784.33715522,518213.363171269,5680972.81991834
123611,2814775.92380374,518210.112011766,5680977.05956544
123612,2814768.25138496,518207.074160947,5680980.97869994
123613,2814761.33449815,518204.306082685,5680984.53751068
123614,2814755.17345766,518201.814057392,5680987.69419352
123615,2814749.89051658,518199.660181669,5680990.43892275
123616,2814745.52851406,518197.869365526,5680992.672086
123617,2814742.13746036,518196.429741491,5680994.41780358
123618,2814739.64744593,518195.382700262,5680995.72534312
123619,2814738.04671268,518194.715109291,5680996.5649504
123620,2814737.31437408,518194.41405247,5680996.97009176
123621,2814737.04308708,518194.307721592,5680997.11220077
123622,2814736.87568404,518194.236967422,5680997.23256366
123623,2814736.77274888,518194.196384429,5680997.30300126
123624,2814736.55550893,518194.104310057,5680997.43278331
123625,2814736.264674,518193.980542695,5680997.60801602
123626,2814736.03402633,518193.891569885,5680997.71826352
123627,2814736.03030231,518193.890781337,5680997.74998087
123628,2814736.03022376,518193.888960153,5680997.7814794
123629,2814736.03190497,518193.895045442,5680997.81446286
123630,2814736.02228279,518193.895571885,5680997.83348889
123631,2814736.02432404,518193.895051308,5680997.86572564
123632,2814736.02097085,518193.8968526,5680997.88649453
123633,2814736.00997167,518193.893176165,5680997.89531804
123634,2814736.01277251,518193.895230849,5680997.94020158
123635,2814736.01006916,518193.897851025,5680997.96361853
123636,2814736.0117095,518193.899886809,5680998.00349241
123637,2814736.00654466,518193.900454801,5680998.03146439
123638,2814736.00349121,518193.902052267,5680998.06528831
123639,2814735.97288014,518193.897127179,5680998.09966891
123640,2814735.53519705,518193.709661711,5680998.32954306
123641,2814734.37175875,518193.215381317,5680998.97037357
123642,2814732.49596831,518192.335301654,5680999.94341585
123643,2814730.14769476,518190.945478074,5681001.21474608
123644,2814727.8889122,518189.034471726,5681002.46655841
123645,2814725.88611687,518186.790157622,5681003.66433086
123646,2814723.82529624,518183.750122518,5681004.89520776
123647,2814722.21607095,518179.916540521,5681005.94722357
123648,2814721.55261328,518175.34776479,5681006.65558011
123649,2814721.87236376,518170.235573877,5681006.95742627
123650,2814723.29591658,518164.315144367,5681006.64300424
123651,2814725.82523163,518157.541078942,5681005.82592544
123652,2814728.96290605,518149.8771977,5681004.67215574
123653,2814732.29745465,518141.390093229,5681003.43389367
123654,2814735.31231613,518132.230728955,5681002.4568208
123655,2814737.4267112,518122.571489131,5681001.85511134
123656,2814738.25086681,518112.468441061,5681001.96149731
123657,2814737.89642438,518101.934865075,5681002.83625109
123658,2814736.57720153,518091.197250518,5681004.06203883
123659,2814734.83832732,518080.390797337,5681005.54728468
123660,2814733.04555915,518069.49212175,5681007.04377599
123661,2814731.65246166,518058.577434403,5681008.34669621
123662,2814731.00899704,518047.819951253,5681009.18849932
123663,2814731.19498038,518037.233976118,5681009.49227945
123664,2814732.07757952,518027.007001272,5681009.33765766
123665,2814733.51836757,518017.474504467,5681008.75730652
123666,2814735.44000436,518008.672439413,5681007.94563937
123667,2814737.8657384,517999.961144158,5681006.8543056
123668,2814740.85140494,517990.791164582,5681005.28282923
123669,2814744.48431875,517981.052283505,5681003.45686323
