satelite_id,Datetime,a0,a1,a2,AODE,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,BDT Week,Spare2,SV accurracy,SatH1,TGD1,TGD2,t_tm,AODC
C02,2023-12-11 14:00:00,0.000242159469053,3.41495720591e-11,0.0,1.0,699.453125,6.610989659970001e-09,0.011621252986099999,2.3110769689100003e-05,0.0008010988822210001,7.85104930401e-06,6493.365348820001,136800.0,2.09547579288e-08,0.403554447331,1.65775418282e-07,0.12011985385099999,-237.90625,-1.54168009648,-5.57701801947e-09,6.72885171225e-10,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,136800.0,0.0
C02,2023-12-11 15:00:00,0.00024228368420200003,3.43129968883e-11,0.0,1.0,712.78125,7.62888920243e-09,0.27173686498800004,2.3572240024800004e-05,0.000805729418062,2.53319740295e-07,6493.37746429,140400.0,2.88709998131e-08,0.593977111634,2.0116567611699998e-07,0.115944030266,-8.96875,-1.73002560144,-6.673492263450001e-09,5.75738267524e-10,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,140400.0,0.0
C02,2023-12-11 16:00:00,0.000242407317273,3.43307604567e-11,0.0,1.0,646.40625,8.69071914619e-09,0.532347895661,2.1368265152000002e-05,0.0008077420061450001,-8.01868736744e-06,6493.3836097700005,144000.0,4.37721610069e-08,0.7897667600870001,2.08616256714e-07,0.110213587044,241.3125,-1.92416017313,-7.77282376931e-09,4.55733268834e-10,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,144000.0,0.0
C02,2023-12-11 17:00:00,0.00024253129959100002,3.43938211245e-11,0.0,1.0,503.56249999999994,9.85862493701e-09,0.7957152015090001,1.66036188602e-05,0.0008072078926490001,-1.60364434123e-05,6493.381567,147600.0,8.428469300270001e-08,0.993659807291,1.92783772945e-07,0.10310086032500002,485.25,-2.12906278449,-8.92465746209e-09,3.0536986273800003e-10,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,147600.0,0.0
C02,2023-12-11 18:00:00,0.00024265481624800002,3.43556294524e-11,0.0,1.0,284.3125,1.11186774233e-08,1.06261440707,9.30950045586e-06,0.0008057479280980001,-2.23969109356e-05,6493.37241936,151200.0,1.42958015203e-07,1.20940265625,1.63447111845e-07,0.0948439122296,680.03125,-2.34924307214,-1.01222073449e-08,1.25005206969e-10,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,151200.0,0.0
C02,2023-12-11 19:00:00,0.000242778565735,3.4365399414999997e-11,0.0,1.0,-30.25,1.16865582206e-08,1.32844583458,-1.07754021883e-06,0.0008053217316050001,-2.48081050813e-05,6493.36599922,154800.0,-7.96280801296e-08,1.44230828017,1.4388933777799998e-07,0.0857663446268,755.671875,-2.58540861443,-1.06375859553e-08,1.85722021782e-11,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,154800.0,0.0
C02,2023-12-11 20:00:00,0.00024290208239100003,3.43343131703e-11,0.0,1.0,-362.5,1.16865582206e-08,1.59813594112,-1.2040138244600002e-05,0.00080541963689,-2.2621825337400002e-05,6493.35211754,158400.0,-3.92086803913e-07,1.70004575791,1.34576112032e-07,0.0763125174198,692.71875,-2.8501586997,-1.0544724944399999e-08,-8.60750139413e-11,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,158400.0,0.0
C02,2023-12-11 21:00:00,0.00024302420206400002,3.41495720591e-11,0.0,1.0,-663.953125,1.16865582206e-08,1.86524084613,-2.1865591406800002e-05,0.0008064421126619999,-1.3321172446000002e-05,6493.34294319,162000.0,-3.43658030033e-07,1.99326171133,5.2154064178499997e-08,0.0671077154429,411.9375,3.13547956513,-1.04782936058e-08,-3.6001499607e-10,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,162000.0,0.0
C02,2023-12-11 22:00:00,0.00024314748588900002,3.4184211017399996e-11,0.0,1.0,-781.90625,1.07472333797e-08,2.12764667101,-2.55801714957e-05,0.00080604548566,3.44030559063e-06,6493.34374428,165600.0,1.9092112779599998e-08,2.33450189765,-2.16998159885e-07,0.059040686298700004,-98.875,2.79468612034,-9.54039739585e-09,-8.028905864729999e-10,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,165600.0,0.0
C02,2023-12-11 23:00:00,0.000243270304054,3.41415784533e-11,0.0,1.0,-496.23437499999994,5.19307345521e-09,2.38742952035,-1.6066711396000002e-05,0.0008029055316000002,2.18441709876e-05,6493.35296059,169200.0,-1.47148966789e-07,2.73127999579,-2.2491440176999998e-07,0.053295259870100004,-665.328125,2.40103273329,-4.0430255511000006e-09,-1.01039923004e-09,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,169200.0,0.0
C03,2023-12-11 00:00:00,-0.00016665749717500002,1.79163350822e-11,0.0,1.0,651.25,-5.66666461076e-09,2.93521513846,2.1199230104700002e-05,0.000916470307857,1.92024745047e-05,6493.49891281,86400.0,-1.8952414393399998e-07,-3.02487697939,7.03148543835e-08,0.06298707751600001,-590.8125,2.03647063819,6.72992318546e-09,-8.76822237451e-10,0.0,936.0,0.0,2.0,0.0,2.29999996826e-09,-8.1e-09,86400.0,0.0
C03,2023-12-11 01:00:00,-0.000166592770256,1.7951862219e-11,0.0,1.0,904.875,-9.50325299149e-09,-3.0863224982,2.9339920729400005e-05,0.0009207879193129999,-1.6530975699399997e-07,6493.48830223,90000.0,-7.40401446819e-08,-2.67329189222,2.2305175662e-07,0.06631044410760001,9.09375,1.6860136525,1.06572296307e-08,-6.596703350600001e-10,0.0,936.0,0.0,2.0,0.0,2.29999996826e-09,-8.1e-09,90000.0,0.0
C03,2023-12-11 02:00:00,-0.000166528392583,1.79207759743e-11,0.0,1.0,721.234375,-1.11908232856e-08,-2.82451704319,2.3433472961200004e-05,0.000922197243199,-1.82958319783e-05,6493.48456764,93600.0,1.22003257275e-07,-2.347879612,2.10478901863e-07,0.0713545388315,569.96875,1.36153677089,1.23844444332e-08,-3.87158983869e-10,0.0,936.0,0.0,2.0,0.0,2.29999996826e-09,-8.1e-09,93600.0,0.0
C03,2023-12-11 03:00:00,-0.000166464131325,1.7893242443299997e-11,0.0,1.0,267.5,-1.12072525413e-08,-2.56014608338,8.83173197508e-06,0.0009201166685670001,-2.7417670935400003e-05,6493.49110031,97200.0,2.42609530687e-07,-2.0507319185,7.49714672565e-08,0.0774798485124,848.265625,1.06270721167,1.2363014969199999e-08,-9.96470078407e-11,0.0,936.0,0.0,2.0,0.0,2.29999996826e-09,-8.1e-09,97200.0,0.0
C03,2023-12-11 04:00:00,-0.000166399637237,1.7893242443299997e-11,0.0,1.0,-227.07812500000003,-1.0201853519599999e-08,-2.2934956763,-7.16140493751e-06,0.000917379162274,-2.6555266231300002e-05,6493.50245476,100800.0,2.2538006305699996e-07,-1.77888312565,-6.10016286373e-08,0.08408158087249999,815.84375,0.7868311179890001,1.12818985078e-08,1.8215044444e-10,0.0,936.0,0.0,2.0,0.0,2.29999996826e-09,-8.1e-09,100800.0,0.0
C03,2023-12-11 05:00:00,-0.000166334328242,1.80246928494e-11,0.0,1.0,-601.859375,-8.61571602201e-09,-2.02806242291,-1.93929299712e-05,0.00091627787333,-1.8884427845500003e-05,6493.50949669,104400.0,1.13621354103e-07,-1.52759238848,-1.36438757181e-07,0.0906545156902,574.921875,0.5326550601810001,9.64897334704e-09,4.35375277985e-10,0.0,936.0,0.0,2.0,0.0,2.29999996826e-09,-8.1e-09,104400.0,0.0
C03,2023-12-11 06:00:00,-0.000166268204339,1.8188117678599997e-11,0.0,1.0,-790.703125,-6.716351191560001e-09,-1.76683773028,-2.5682151317600003e-05,0.000916281365789,-8.33114609122e-06,6493.506755830001,108000.0,-2.23517417908e-08,-1.29216140076,-1.59721821547e-07,0.09679904372590001,249.90625,0.29846973404,7.771037980640001e-09,6.378837132740001e-10,0.0,936.0,0.0,2.0,0.0,2.29999996826e-09,-8.1e-09,108000.0,0.0
C03,2023-12-11 07:00:00,-0.000166205107234,1.78888015512e-11,0.0,1.0,-796.6875,-4.677694844770001e-09,-1.50909591353,-2.6039779186200004e-05,0.0009154280414800001,2.34786421061e-06,6493.49610138,111600.00000000001,-1.19674950838e-07,-1.06857432362,-1.5646219253499998e-07,0.10220663994500001,-75.375,0.079537530566,5.80345602295e-09,7.76103756408e-10,0.0,936.0,0.0,2.0,0.0,2.29999996826e-09,-8.1e-09,111600.00000000001,0.0
C03,2023-12-11 08:00:00,-0.00016614003107,1.7973178501099998e-11,0.0,1.0,-658.6875,-2.6097515637700005e-09,-1.25198915682,-2.16830521822e-05,0.0009130920516330001,1.1556316167100002e-05,6493.482955930001,115199.99999999999,-1.44820660353e-07,-0.8535672112780001,-1.35041773319e-07,0.10664348615200002,-352.71875,-0.13024439242500002,3.8240878600400005e-09,8.50035407387e-10,0.0,936.0,0.0,2.0,0.0,2.29999996826e-09,-8.1e-09,115199.99999999999,0.0
